PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;PATROVITOST;KODHN;ETOLOGIE;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
1;65063251;Halictus scabiosae;;Blanokøídlí;Štorek Vladimír;20250812;20250812;;12552215;Choceò;6063;Choceò;-615972.31;-1069199.66;Mgr. Vladimír Štorek (2025) terénní zápisky.;0;1;0;imaga;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Štorek Vladimír;0;;;;;;;;;;;0;20250812
2;65050592;Halictus simplex;;Blanokøídlí;Brodeckı Pavel;20250806;20250806;;12542853;PP Kozí hùra;5857;ehuò;-679982.24;-1047406.14;BRODECKİ P. (2025) Terénní zápisky - náhodná pozorování.;0;5;0;samci;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Brodeckı Pavel;0;vìrohodnı záznam;;Návrh validace;;;;;;;;10;20250808;20250807;24999
3;64594427;Halictus scabiosae;;Blanokøídlí;Štorek Vladimír;20250719;20250719;;12258851;Sruby;6063;Sruby;-618174.52;-1069836.46;Mgr. Vladimír Štorek (2025) terénní zápisky.;0;1;0;imaga;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Štorek Vladimír;0;;;;;;;;;;;0;20250722
4;64493488;Halictus scabiosae;;Blanokøídlí;Tomešová Andrea;20180609;20180609;;12194702;Tøebomyslice;6648;Tøebomyslice u Horaïovic;-808124.9;-1115826.55;Tomešová A. (2018) Terénní zápisky - náhodná pozorování.;0;1;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Tomešová Andrea;0;vìrohodnı záznam;;Návrh validace;;;;;;;;0;20250714
5;64456786;Halictus scabiosae;;Blanokøídlí;Ohryzek Jiøí;20250704;20250704;;12166382;Prasklice, úhor v OP NPP Køéby;6769;Prasklice;-555099.32;-1155120.18;OHRYZEK J. (2025) Terénní zápisky - náhodná pozorování.;0;2;0;imaga;;;;;;0;Na kvìtech bodláku.;;;;Mobilní sbìr dat;ND - Databáze BioLog;Ohryzek Jiøí;0;vìrohodnı záznam;;Návrh validace;;;;;;;;8;20250705;20250704;1115
6;61728105;Halictus simplex;;Blanokøídlí;Tomešová Andrea;20230915;20230915;;10242900;Chanovec;6747;Èepice;-814338.49;-1124349.71;Tomešová A. (2024) Refugia biodiverzity xerotermního hmyzu v zemìdìlské krajinì pošumavskıch vápencù.;0;1;0;samice;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Tomešová Andrea;0;vìrohodnı záznam;;Návrh validace;;;;;;kruhová plocha o velikosti 1 ha;;0;20250216
7;61728098;Halictus scabiosae;;Blanokøídlí;Tomešová Andrea;20230915;20230915;;10242900;Chanovec;6747;Èepice;-814338.49;-1124349.71;Tomešová A. (2024) Refugia biodiverzity xerotermního hmyzu v zemìdìlské krajinì pošumavskıch vápencù.;0;4;0;imaga;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Tomešová Andrea;0;vìrohodnı záznam;;Návrh validace;;;;;;kruhová plocha o velikosti 1 ha;;0;20250216
8;61727308;Halictus scabiosae;;Blanokøídlí;Tomešová Andrea;20230915;20230915;;10244182;Dobršín;6747;Dobršín;-817868.74;-1125028.51;Tomešová A. (2024) Refugia biodiverzity xerotermního hmyzu v zemìdìlské krajinì pošumavskıch vápencù.;0;2;0;imaga;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Tomešová Andrea;0;vìrohodnı záznam;;Návrh validace;;;;;;kruhová plocha o velikosti 1 ha;;0;20250215
9;61727299;Halictus subauratus;;Blanokøídlí;Tomešová Andrea;20230914;20230914;;10242883;Rabí, bıvalı kamenolom;6747;Rabí;-813864.05;-1123981.46;Tomešová A. (2024) Refugia biodiverzity xerotermního hmyzu v zemìdìlské krajinì pošumavskıch vápencù.;0;2;0;imaga;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Tomešová Andrea;0;vìrohodnı záznam;;Návrh validace;;;;;;kruhová plocha o velikosti 1 ha;;0;20250215
10;61727293;Halictus scabiosae;;Blanokøídlí;Tomešová Andrea;20230914;20230914;;10242883;Rabí, bıvalı kamenolom;6747;Rabí;-813864.05;-1123981.46;Tomešová A. (2024) Refugia biodiverzity xerotermního hmyzu v zemìdìlské krajinì pošumavskıch vápencù.;0;;0;imaga;hojnì;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Tomešová Andrea;0;vìrohodnı záznam;;Návrh validace;;;;;;kruhová plocha o velikosti 1 ha;;0;20250215
11;61727262;Halictus scabiosae;;Blanokøídlí;Tomešová Andrea;20230914;20230914;;10242826;bıvalı vápencovı lom Rabí;6747;Rabí;-813640.03;-1124276.13;Tomešová A. (2024) Refugia biodiverzity xerotermního hmyzu v zemìdìlské krajinì pošumavskıch vápencù.;0;1;0;imaga;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Tomešová Andrea;0;vìrohodnı záznam;;Návrh validace;;;;;;kruhová plocha o velikosti 1 ha;;0;20250215
12;61727224;Halictus scabiosae;;Blanokøídlí;Tomešová Andrea;20230912;20230912;;10244215;Lišná;6747;Rabí;-813454.11;-1123833.37;Tomešová A. (2024) Refugia biodiverzity xerotermního hmyzu v zemìdìlské krajinì pošumavskıch vápencù.;0;1;0;imaga;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Tomešová Andrea;0;vìrohodnı záznam;;Návrh validace;;;;;;kruhová plocha o velikosti 1 ha;;0;20250215
13;61727223;Halictus subauratus;;Blanokøídlí;Tomešová Andrea;20230912;20230912;;10244215;Lišná;6747;Rabí;-813454.11;-1123833.37;Tomešová A. (2024) Refugia biodiverzity xerotermního hmyzu v zemìdìlské krajinì pošumavskıch vápencù.;0;1;0;samci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Tomešová Andrea;0;vìrohodnı záznam;;Návrh validace;;;;;;kruhová plocha o velikosti 1 ha;;0;20250215
14;61722196;Halictus tumulorum;;Blanokøídlí;Tomešová Andrea;20230911;20230911;;10241947;Rabí, sv. Jan Nepomuckı;6747;Rabí;-812363.64;-1123647.98;Tomešová A. (2024) Refugia biodiverzity xerotermního hmyzu v zemìdìlské krajinì pošumavskıch vápencù.;0;1;0;samci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Tomešová Andrea;0;vìrohodnı záznam;;Návrh validace;;;;;;;;0;20250213
15;61722195;Halictus subauratus;;Blanokøídlí;Tomešová Andrea;20230911;20230911;;10241947;Rabí, sv. Jan Nepomuckı;6747;Rabí;-812363.64;-1123647.98;Tomešová A. (2024) Refugia biodiverzity xerotermního hmyzu v zemìdìlské krajinì pošumavskıch vápencù.;0;2;0;imaga;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Tomešová Andrea;0;vìrohodnı záznam;;Návrh validace;;;;;;;;0;20250213
16;61722185;Halictus scabiosae;;Blanokøídlí;Tomešová Andrea;20230911;20230911;;10241947;Rabí, sv. Jan Nepomuckı;6747;Rabí;-812363.64;-1123647.98;Tomešová A. (2024) Refugia biodiverzity xerotermního hmyzu v zemìdìlské krajinì pošumavskıch vápencù.;0;2;0;imaga;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Tomešová Andrea;0;vìrohodnı záznam;;Návrh validace;;;;;;;;0;20250213
17;61722174;Halictus tumulorum;;Blanokøídlí;Tomešová Andrea;20230911;20230911;;10241932;Bojanovice;6747;Bojanovice pod Rabím;-810438.84;-1121940.81;Tomešová A. (2024) Refugia biodiverzity xerotermního hmyzu v zemìdìlské krajinì pošumavskıch vápencù.;0;1;0;samice;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Tomešová Andrea;0;vìrohodnı záznam;;Návrh validace;;;;;;kruhová plocha o velikosti 1 ha;;0;20250213
