PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;KODHN;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
1367;53014283;Andrena nigroaenea;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649119;PR Dlouholouèské stránì;6265;Dlouhá Louèka;-589310.71;-1104342.95;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1368;53014282;Andrena minutuloides;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649119;PR Dlouholouèské stránì;6265;Dlouhá Louèka;-589310.71;-1104342.95;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1369;53014281;Andrena minutula;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649119;PR Dlouholouèské stránì;6265;Dlouhá Louèka;-589310.71;-1104342.95;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1370;53014280;Andrena labiata;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649119;PR Dlouholouèské stránì;6265;Dlouhá Louèka;-589310.71;-1104342.95;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1371;53014279;Andrena helvola;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649119;PR Dlouholouèské stránì;6265;Dlouhá Louèka;-589310.71;-1104342.95;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1372;53014278;Andrena haemorrhoa;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649119;PR Dlouholouèské stránì;6265;Dlouhá Louèka;-589310.71;-1104342.95;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1373;53014277;Andrena gravida;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649119;PR Dlouholouèské stránì;6265;Dlouhá Louèka;-589310.71;-1104342.95;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1374;53014276;Andrena fulvago;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649119;PR Dlouholouèské stránì;6265;Dlouhá Louèka;-589310.71;-1104342.95;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1375;53014275;Andrena fulva;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649119;PR Dlouholouèské stránì;6265;Dlouhá Louèka;-589310.71;-1104342.95;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1376;53014274;Andrena flavipes;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649119;PR Dlouholouèské stránì;6265;Dlouhá Louèka;-589310.71;-1104342.95;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1377;53014273;Andrena congruens;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649119;PR Dlouholouèské stránì;6265;Dlouhá Louèka;-589310.71;-1104342.95;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;vìrohodnı záznam;;Návrh validace;;;;NT;;;;1;20220823
1378;53014272;Andrena clarkella;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649119;PR Dlouholouèské stránì;6265;Dlouhá Louèka;-589310.71;-1104342.95;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1379;53014271;Andrena carantonica;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649119;PR Dlouholouèské stránì;6265;Dlouhá Louèka;-589310.71;-1104342.95;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1380;53014270;Andrena bicolor;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649119;PR Dlouholouèské stránì;6265;Dlouhá Louèka;-589310.71;-1104342.95;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1381;53014262;Andrena symphyti;pískorypka kostivalová;Blanokøídlí;Mocek B.;20020502;20020517;;8649118;PR Bludy;5858;Knìièky;-676288.99;-1045193.64;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;VU;;;;1;20220823
1382;53014213;Andrena chrysopus;;Blanokøídlí;Tyrner P.;20080513;20080513;;8649116;PP atec;5647;atec;-801549.81;-1005493.95;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1383;53014212;Andrena floricola;pískorypka kvìtomilná;Blanokøídlí;Tyrner P.;20080412;20080412;;8649116;PP atec;5647;atec;-801549.81;-1005493.95;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;VU;;;;1;20220823
1384;53014201;Andrena combinata;pískorypka bìloteèná;Blanokøídlí;Hendrychová M.;20150101;20151231;;8649114;PP Støezovská rokle;5546;Bøezno u Chomutova;-807243.5;-998464.19;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;EN;;;;1;20220823
1385;53014164;Andrena decipiens;pískorypka podobná;Blanokøídlí;Bogusch P.;20090808;20090808;;8649113;PP Stroupeè;5646;Stroupeè;-803856.67;-1003465.97;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;CR;;;;1;20220823
1386;53014139;Andrena subopaca;;Blanokøídlí;Marhoul P.;20090101;20091231;;8649112;PP Oškobrh;5857;Odøepsy;-684404.87;-1043927.13;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1387;53014138;Andrena ovatula;pískorypka bìlopruhá;Blanokøídlí;Marhoul P.;20090101;20091231;;8649112;PP Oškobrh;5857;Odøepsy;-684404.87;-1043927.13;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;DD;;;;1;20220823
1388;53014137;Andrena minutula;;Blanokøídlí;Marhoul P.;20090101;20091231;;8649112;PP Oškobrh;5857;Odøepsy;-684404.87;-1043927.13;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1389;53014136;Andrena flavipes;;Blanokøídlí;Marhoul P.;20090101;20091231;;8649112;PP Oškobrh;5857;Odøepsy;-684404.87;-1043927.13;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1390;53014107;Andrena proxima;;Blanokøídlí;Bogusch P.;20080531;20080531;;8649111;PP Boršov u Litìtin;5962;Litìtiny;-629850.15;-1066107.64;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;vìrohodnı záznam;;Návrh validace;;;;DD;;;;1;20220823
1391;53014101;Andrena subopaca;;Blanokøídlí;Bogusch P.;20080413;20080413;;8649111;PP Boršov u Litìtin;5962;Litìtiny;-629850.15;-1066107.64;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1392;53014100;Andrena chrysosceles;;Blanokøídlí;Bogusch P.;20080413;20080413;;8649111;PP Boršov u Litìtin;5962;Litìtiny;-629850.15;-1066107.64;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1393;53014005;Andrena wilkella;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649111;PP Boršov u Litìtin;5962;Litìtiny;-629850.15;-1066107.64;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1394;53014004;Andrena subopaca;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649111;PP Boršov u Litìtin;5962;Litìtiny;-629850.15;-1066107.64;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1395;53014003;Andrena proxima;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649111;PP Boršov u Litìtin;5962;Litìtiny;-629850.15;-1066107.64;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;vìrohodnı záznam;;Návrh validace;;;;DD;;;;1;20220823
1396;53014002;Andrena propinqua;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649111;PP Boršov u Litìtin;5962;Litìtiny;-629850.15;-1066107.64;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1397;53014001;Andrena pandellei;pískorypka zvonková;Blanokøídlí;Bogusch P.;20080101;20081231;;8649111;PP Boršov u Litìtin;5962;Litìtiny;-629850.15;-1066107.64;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;vìrohodnı záznam;;Návrh validace;;;;NT;;;;1;20220823
1398;53014000;Andrena ovatula;pískorypka bìlopruhá;Blanokøídlí;Bogusch P.;20080101;20081231;;8649111;PP Boršov u Litìtin;5962;Litìtiny;-629850.15;-1066107.64;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;vìrohodnı záznam;;Návrh validace;;;;DD;;;;1;20220823
1399;53013999;Andrena nitida;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649111;PP Boršov u Litìtin;5962;Litìtiny;-629850.15;-1066107.64;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1400;53013998;Andrena nigroaenea;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649111;PP Boršov u Litìtin;5962;Litìtiny;-629850.15;-1066107.64;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1401;53013997;Andrena minutuloides;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649111;PP Boršov u Litìtin;5962;Litìtiny;-629850.15;-1066107.64;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1402;53013996;Andrena chrysosceles;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649111;PP Boršov u Litìtin;5962;Litìtiny;-629850.15;-1066107.64;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1403;53013995;Andrena helvola;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649111;PP Boršov u Litìtin;5962;Litìtiny;-629850.15;-1066107.64;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1404;53013994;Andrena haemorrhoa;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649111;PP Boršov u Litìtin;5962;Litìtiny;-629850.15;-1066107.64;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1405;53013993;Andrena gravida;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649111;PP Boršov u Litìtin;5962;Litìtiny;-629850.15;-1066107.64;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1406;53013992;Andrena flavipes;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649111;PP Boršov u Litìtin;5962;Litìtiny;-629850.15;-1066107.64;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1407;53013991;Andrena dorsata;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649111;PP Boršov u Litìtin;5962;Litìtiny;-629850.15;-1066107.64;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1408;53013990;Andrena cineraria;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649111;PP Boršov u Litìtin;5962;Litìtiny;-629850.15;-1066107.64;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1409;53013989;Andrena bicolor;;Blanokøídlí;Bogusch P.;20080101;20081231;;8649111;PP Boršov u Litìtin;5962;Litìtiny;-629850.15;-1066107.64;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1410;53013970;Andrena gelriae;;Blanokøídlí;Bogusch P.;20090602;20090602;;8649110;Pouzdøany;7065;Pouzdøany;-600163.5;-1190825.54;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;DD;;;;1;20220823
1411;53013929;Andrena ovatula;pískorypka bìlopruhá;Blanokøídlí;Bogusch P.;20070601;20070601;;8649110;Pouzdøany;7065;Pouzdøany;-600163.5;-1190825.54;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;DD;;;;1;20220823
1412;53013928;Andrena minutula;;Blanokøídlí;Bogusch P.;20070601;20070601;;8649110;Pouzdøany;7065;Pouzdøany;-600163.5;-1190825.54;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1413;53013927;Andrena chrysopus;;Blanokøídlí;Bogusch P.;20070601;20070601;;8649110;Pouzdøany;7065;Pouzdøany;-600163.5;-1190825.54;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1414;53013926;Andrena florea;pískorypka posedová;Blanokøídlí;Bogusch P.;20070601;20070601;;8649110;Pouzdøany;7065;Pouzdøany;-600163.5;-1190825.54;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;VU;;;;1;20220823
1415;53013900;Andrena tibialis;;Blanokøídlí;Bogusch P.;20070425;20070425;;8649110;Pouzdøany;7065;Pouzdøany;-600163.5;-1190825.54;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1416;53013899;Andrena minutula;;Blanokøídlí;Bogusch P.;20070425;20070425;;8649110;Pouzdøany;7065;Pouzdøany;-600163.5;-1190825.54;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1417;53013898;Andrena helvola;;Blanokøídlí;Bogusch P.;20070425;20070425;;8649110;Pouzdøany;7065;Pouzdøany;-600163.5;-1190825.54;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1418;53013897;Andrena fulvicornis;;Blanokøídlí;Bogusch P.;20070425;20070425;;8649110;Pouzdøany;7065;Pouzdøany;-600163.5;-1190825.54;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1419;53013896;Andrena carantonica;;Blanokøídlí;Bogusch P.;20070425;20070425;;8649110;Pouzdøany;7065;Pouzdøany;-600163.5;-1190825.54;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1420;53013889;Andrena varians;;Blanokøídlí;Bogusch P.;20070330;20070330;;8649110;Pouzdøany;7065;Pouzdøany;-600163.5;-1190825.54;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1421;53013888;Andrena trimmerana;pískorypka ozbrojená;Blanokøídlí;Bogusch P.;20070330;20070330;;8649110;Pouzdøany;7065;Pouzdøany;-600163.5;-1190825.54;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;NT;;;;1;20220823
1422;53013887;Andrena sericata;pískorypka sametová;Blanokøídlí;Bogusch P.;20070330;20070330;;8649110;Pouzdøany;7065;Pouzdøany;-600163.5;-1190825.54;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;EN;;;;1;20220823
1423;53013886;Andrena fulva;;Blanokøídlí;Bogusch P.;20070330;20070330;;8649110;Pouzdøany;7065;Pouzdøany;-600163.5;-1190825.54;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1424;53013885;Andrena bimaculata;pískorypka dvouskvrnná;Blanokøídlí;Bogusch P.;20070330;20070330;;8649110;Pouzdøany;7065;Pouzdøany;-600163.5;-1190825.54;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;NT;;;;1;20220823
1425;53013884;Andrena bimaculata;pískorypka dvouskvrnná;Blanokøídlí;Bogusch P.;20070330;20070330;;8649110;Pouzdøany;7065;Pouzdøany;-600163.5;-1190825.54;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;NT;;;;1;20220823
1426;53013883;Andrena bicolor;;Blanokøídlí;Bogusch P.;20070330;20070330;;8649110;Pouzdøany;7065;Pouzdøany;-600163.5;-1190825.54;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1427;53013798;Andrena fulvago;;Blanokøídlí;Marhoul P.;20090526;20090526;;8649102;Podboøany;5746;Podboøany;-811938.36;-1017089.06;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1428;53013743;Andrena strohmella;;Blanokøídlí;Marhoul P.;20090101;20091231;;8649102;Podboøany;5746;Podboøany;-811938.36;-1017089.06;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1429;53013742;Andrena ovatula;pískorypka bìlopruhá;Blanokøídlí;Marhoul P.;20090101;20091231;;8649102;Podboøany;5746;Podboøany;-811938.36;-1017089.06;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;DD;;;;1;20220823
1430;53013741;Andrena nigroaenea;;Blanokøídlí;Marhoul P.;20090101;20091231;;8649102;Podboøany;5746;Podboøany;-811938.36;-1017089.06;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1431;53013740;Andrena labiata;;Blanokøídlí;Marhoul P.;20090101;20091231;;8649102;Podboøany;5746;Podboøany;-811938.36;-1017089.06;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1432;53013739;Andrena labialis;pískorypka zrnitá;Blanokøídlí;Marhoul P.;20090101;20091231;;8649102;Podboøany;5746;Podboøany;-811938.36;-1017089.06;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;NT;;;;1;20220823
1433;53013738;Andrena fulvago;;Blanokøídlí;Marhoul P.;20090101;20091231;;8649102;Podboøany;5746;Podboøany;-811938.36;-1017089.06;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1434;53013737;Andrena flavipes;;Blanokøídlí;Marhoul P.;20090101;20091231;;8649102;Podboøany;5746;Podboøany;-811938.36;-1017089.06;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1435;53013736;Andrena dorsata;;Blanokøídlí;Marhoul P.;20090101;20091231;;8649102;Podboøany;5746;Podboøany;-811938.36;-1017089.06;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
1436;53013735;Andrena nigroaenea;;Blanokøídlí;Peksa O.;20000429;20000429;;8649102;Podboøany;5746;Podboøany;-811938.36;-1017089.06;BOGUSCH P. (2022) Kartotéka nálezù Hymenoptera.;0;;0;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù hmyzu;Hejda Radek;0;;;;;;;;;;;1;20220823
