PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;KODHN;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
1;63145786;Osmia cornuta;zednice rohatá;Blanokøídlí;Facebook Uivatel;20190409;20190409;;11104577;Píseèník, Brno - Husovice;6765;Husovice;-596183.03;-1158229.73;KOÏOUSEK V. (2025) Terénní zápisky - náhodná pozorování.;0;;0;jedinci;1-10;;;0;Ze skupiny Urèování bezobratlıch na Facebooku.Det.: Václav KoïousekHnízdící.;;;;Mobilní sbìr dat;ND - Databáze BioLog;Koïousek Václav;0;vìrohodnı záznam;;Návrh validace;;;;EN;;;;50;20250330
2;63145785;Osmia cornuta;zednice rohatá;Blanokøídlí;Facebook Uivatel;20230323;20230323;;11104576;U Malvazinky, obvod Praha 5;5952;Smíchov;-745344.12;-1045347.77;KOÏOUSEK V. (2025) Terénní zápisky - náhodná pozorování.;0;1;0;samice;;;;0;Ze skupiny Urèování bezobratlıch na Facebooku.Det.: Kateøina Bezányiová, Václav Koïousek;;;;Mobilní sbìr dat;ND - Databáze BioLog;Koïousek Václav;0;vìrohodnı záznam;;Návrh validace;;;;EN;;;;50;20250330
3;63145776;Osmia cornuta;zednice rohatá;Blanokøídlí;Facebook Uivatel;20230324;20230324;;11104573;Praha 4;5952;Krè;-741953.16;-1047574.78;KOÏOUSEK V. (2025) Terénní zápisky - náhodná pozorování.;0;1;0;samice;;;;0;Ze skupiny Urèování bezobratlıch na Facebooku.Det.: Kateøina Bezányiová, Václav KoïousekLokalita pøibliná (Praha 4).;;;;Mobilní sbìr dat;ND - Databáze BioLog;Koïousek Václav;0;vìrohodnı záznam;;Návrh validace;;;;EN;;;;100;20250330;20250401;33898
4;63145720;Osmia cornuta;zednice rohatá;Blanokøídlí;Greé Karla;20210318;20210318;;11104575;Kratiny, Luice;7168;Luice u Hodonína;-568413.58;-1203546.43;KOÏOUSEK V. (2025) Terénní zápisky - náhodná pozorování.;0;1;0;samci;;;;0;Ze skupiny Urèování bezobratlıch na Facebooku.Det.: Václav Koïousek;;;;Mobilní sbìr dat;ND - Databáze BioLog;Koïousek Václav;0;vìrohodnı záznam;;Návrh validace;;;;EN;;;;100;20250330
5;63145719;Osmia cornuta;zednice rohatá;Blanokøídlí;Facebook Uivatel;20250316;20250316;;11104574;Šlapanice u Brna;6866;Šlapanice u Brna;-589955.73;-1164903.01;KOÏOUSEK V. (2025) Terénní zápisky - náhodná pozorování.;0;;0;;;;;0;Ze skupiny Urèování bezobratlıch na Facebooku.Det.: Václav KoïousekNa hmyzím domku.;;;;Mobilní sbìr dat;ND - Databáze BioLog;Koïousek Václav;0;vìrohodnı záznam;;Návrh validace;;;;EN;;;;100;20250330;20250401;33898
6;63145656;Osmia cornuta;zednice rohatá;Blanokøídlí;Facebook Uivatel;20220406;20220406;;11104579;Babice;6870;Babice u Uherského Hradištì;-535661.31;-1175409.29;KOÏOUSEK V. (2025) Terénní zápisky - náhodná pozorování.;0;2;0;jedinci;;;;0;Ze skupiny Urèování bezobratlıch na Facebooku.Det.: Kateøina Bezányiová, Václav KoïousekPáøící se pár.;;;;Mobilní sbìr dat;ND - Databáze BioLog;Koïousek Václav;0;vìrohodnı záznam;;Návrh validace;;;;EN;;;;100;20250330
7;63145596;Osmia cornuta;zednice rohatá;Blanokøídlí;Bogush Petr;20240325;20240325;;11104578;Hradèany;5857;Hradèany u ehunì;-681214.01;-1043135.94;KOÏOUSEK V. (2025) Terénní zápisky - náhodná pozorování.;0;;0;;;;;0;Ze skupiny Urèování bezobratlıch na Facebooku.Datum pøibliné.;;;;Mobilní sbìr dat;ND - Databáze BioLog;Koïousek Václav;0;vìrohodnı záznam;;Návrh validace;;;;EN;;;;50;20250330
8;63145576;Osmia cornuta;zednice rohatá;Blanokøídlí;Šich Radek;20220220;20220220;;11104580;Ivaò;7065;Ivaò;-603684.48;-1189940.28;KOÏOUSEK V. (2025) Terénní zápisky - náhodná pozorování.;0;1;0;samci;;;;0;Ze skupiny Urèování bezobratlıch na Facebooku.Det.: Kateøina Bezányiová;;;;Mobilní sbìr dat;ND - Databáze BioLog;Koïousek Václav;0;vìrohodnı záznam;;Návrh validace;;;;EN;;;;100;20250330
9;63145560;Osmia cornuta;zednice rohatá;Blanokøídlí;Facebook Uivatel;20220418;20220418;;11104567;Znojmo;7162;Znojmo-mìsto;-642429.15;-1193733.22;KOÏOUSEK V. (2025) Terénní zápisky - náhodná pozorování.;0;1;0;samice;;;;0;Ze skupiny Urèování bezobratlıch na Facebooku.Det.: Karel KodejšLokalizace je pøibliná.;;;;Mobilní sbìr dat;ND - Databáze BioLog;Koïousek Václav;0;vìrohodnı záznam;;Návrh validace;;;;EN;;;;100;20250330
10;63145559;Osmia cornuta;zednice rohatá;Blanokøídlí;Facebook Uivatel;20230412;20230412;;11104566;Tuèapy;6970;Tuèapy;-547153.02;-1182353.73;KOÏOUSEK V. (2025) Terénní zápisky - náhodná pozorování.;0;;0;jedinci;øádovì niší desítky;;;0;Ze skupiny Urèování bezobratlıch na Facebooku.Det.: Kateøina BezányiováHnízdící.;;;;Mobilní sbìr dat;ND - Databáze BioLog;Koïousek Václav;0;vìrohodnı záznam;;Návrh validace;;;;EN;;;;50;20250330
