PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;PATROVITOST;KODHN;ETOLOGIE;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
12;63245759;Bombylius major;;Dvoukøídlí;Heøman Petr;20250419;20250419;;11167673;Putim;6750;Putim;-777274.15;-1130602.87;Petr HEØMAN (2025) data - terén.;0;1;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Heøman Petr;0;vìrohodnı záznam;;Návrh validace;;;;;;;;176;20250421
13;63245755;Bombylius major;;Dvoukøídlí;Heøman Petr;20250419;20250419;;11167648;Písek-vyhlídka Píseckıch lesníkù;6651;Písek;-771569.99;-1126559.96;Petr HEØMAN (2025) data - terén.;0;;0;jedinci;hojnì;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Heøman Petr;0;vìrohodnı záznam;;Návrh validace;;;;;;;;0;20250421
14;63229661;Bombylius major;;Dvoukøídlí;Hamáèek Jaroslav;20250416;20250416;13:50;11157548;Churáòov, Zadov;6947;Stachy;-816595.44;-1146942.54;HAMÁÈEK J. (2025) Terénní zápisky - náhodná pozorování.;0;1;0;imaga;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Hamáèek Jaroslav;0;vìrohodnı záznam;;Návrh validace;;;;;;;;10;20250417
15;63223744;Bombylius major;;Dvoukøídlí;Heøman Petr;20250415;20250415;;11152944;Sıkoøice-okolí lomu;5949;Sıkoøice;-779144.99;-1044002.38;Petr HEØMAN (2025) data - terén.;0;;0;jedinci;hojnì;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Heøman Petr;0;vìrohodnı záznam;;Návrh validace;;;;;;;;50;20250415
16;63219636;Bombylius major;;Dvoukøídlí;Chobot Karel;20250413;20250413;;11148274;Únìtice 34;5852;Únìtice u Prahy;-746352.66;-1035402.58;CHOBOT K. (2025) Terénní zápisky - náhodná pozorování.;0;;0;;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Chobot Karel;0;vìrohodnı záznam;;Návrh validace;;;;;;;;4;20250414;20250413;9
17;63195631;Bombylius discolor;;Dvoukøídlí;Koïousek Václav;20250402;20250402;;11131597;NPP Zlatı kùò;6050;Konìprusy;-770663.09;-1058546.92;KOÏOUSEK V. (2025) Terénní zápisky - náhodná pozorování.;0;1;0;jedinci;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Koïousek Václav;0;vìrohodnı záznam;;Návrh validace;;;;;;;;10;20250407;20250407;33898
18;63195537;Bombylius major;;Dvoukøídlí;Hrouzek Martin;20250405;20250405;;11131579;Popovice;6971;Popovice u Uherského Hradištì;-531818.35;-1184512.65;HROUZEK M. (2025) Terénní zápisky - náhodná pozorování.;0;;0;;11-100;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Hrouzek Martin;0;vìrohodnı záznam;;Návrh validace;;;;;;;;64;20250407;20250406;11977
19;63192183;Bombylius major;;Dvoukøídlí;Kateøina Kuøavová;20250403;20250403;;11130243;Ostrava-Svinov, Rudná;6175;Svinov;-475720.39;-1104795.56;KUØAVOVÁ K. (2025) Terénní zápisky - náhodná pozorování.;0;10;0;jedinci;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Kuøavová Kateøina;0;vìrohodnı záznam;;Návrh validace;;;;;;;;9;20250406;20250403;23293
20;63140459;Bombylius posticus;;Dvoukøídlí;Èelechovskı Alois, Èelechovskı David;20240629;20240629;;11100237;Hnanice, Šobes;7161;Podmolí;-648783.18;-1197589.84;Èelechovskı D. (2024) Prùzkum dlouhososek (Diptera: Bombyliidae) na území NP Podyjí.;0;1;0;samice;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Monitoring a mapování vybranıch druhù;Jeøábková Lenka;1;;;Garantováno;;;;;;;;1;20250327
21;63140454;Bombylius cinerascens;;Dvoukøídlí;Èelechovskı Alois, Èelechovskı David;20240608;20240608;;11100237;Hnanice, Šobes;7161;Podmolí;-648783.18;-1197589.84;Èelechovskı D. (2024) Prùzkum dlouhososek (Diptera: Bombyliidae) na území NP Podyjí.;0;3;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Monitoring a mapování vybranıch druhù;Jeøábková Lenka;1;;;Garantováno;;;;;;;;1;20250327
