PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;KODHN;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
1350;46328265;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Špryòar Pavel;20180907;20180907;;6837360;Pøírodní památka Kaèina, západní èást, asi 30 m SV od cesty;6057;Nové Dvory u Kutné Hory;-679723.32;-1063026.83;ŠPRYÒAR P. (2018) Sbìr faunistickıch a floristickıch údajù v roce 2018.;0;1;0;larvy;;;;0;Leící kmen dubu letního (Quercus robur), pod kùrou.;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Špryòar Pavel;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;0;20190109
1351;46327768;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Špryòar Pavel;20180828;20180828;;6837353;PR Tonice-Bezedná, mezi tùnìmi Okrouhlík a Tonice;5957;Velkı Osek;-689443.6;-1049688.59;ŠPRYÒAR P. (2018) Vlastní terénní nálezy v roce 2018.;0;1;0;larvy;;;;0;Torzo padlého kmene dubu letního (Quercus robur), pod kùrou.;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Špryòar Pavel;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;0;20190109
1352;46327693;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Špryòar Pavel;20181206;20181206;;6837342;NPR Libickı luh, èást v mapì oznaèená Duby za Labem;5956;Libice nad Cidlinou;-690074.52;-1048795.83;ŠPRYÒAR P. (2018) Vlastní terénní nálezy v roce 2018.;0;1;0;larvy;;;;0;Báze suchého stojího kmene javoru babyky (Acer campestre), pod kùrou.;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Špryòar Pavel;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;0;20190109
1353;46327636;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Špryòar Pavel;20181207;20181207;;6837330;Uhøínìves, pøírodní památka Obora v Uhøínìvsi, levı bøeh Øíèanského potoka.;5953;Uhøínìves;-730831.73;-1050353.43;ŠPRYÒAR P. (2018) Vlastní terénní nálezy v roce 2018.;0;8;0;larvy;;;;0;Leící mrtvı kmen dubu letního (Quercus robur) v oplocence u cesty, pod kùrou kmene.;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Špryòar Pavel;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;0;20190109
1354;46327539;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Špryòar Pavel;20181210;20181210;;6837312;Veltrusy (k. ú.), pøírodní památka a EVL Veltrusy, jihovıchodní okraj;5752;Veltrusy;-745552.91;-1021515.59;ŠPRYÒAR P. (2018) Vlastní terénní nálezy v roce 2018.;0;1;0;larvy;;;;0;Leící mrtvı kmen jasanu (Fraxinus excelsior), pod kùrou.;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Špryòar Pavel;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;0;20190109
1355;46327372;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Špryòar Pavel;20181218;20181218;;6837268;Baš (k. ú.), les Beckov;5852;Baš;-739139.03;-1031296.58;ŠPRYÒAR P. (2018) Vlastní terénní nálezy v roce 2018.;0;1;0;larvy;;;;0;Vyvrácená báze dubového kmene, pod kùrou.;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Špryòar Pavel;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;0;20190109
1356;46307501;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Moravec Pavel;20181114;20181114;;6832528;Roudnice nad Labem;5551;Roudnice nad Labem;-749849.62;-1003447.19;Moravec P. (2019) Monitoring páchníka hnìdého.;0;3;0;larvy;;;;0;2 larvy pod kùrou topolu, 1 larva pod kùrou akátového(!) vıøezu spolu s èetnımi larvami Pyrochroa spp.;;luní les;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Moravec Pavel;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;0;20181228
1357;46307494;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Moravec Pavel;20180418;20180418;;6832502;Budynì nad Ohøí;5550;Budynì nad Ohøí;-759717.87;-1004975.93;Moravec P. (2019) Monitoring páchníka hnìdého.;0;5;0;jedinci;;;;0;3 imaga + 2 larvy (minimum, dál neloupáno) na nìkolika topolovıch polomech;;luní les;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Moravec Pavel;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;0;20181228
1358;46307488;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Moravec Pavel;20180405;20180405;;6832497;Myslivna (PR);5650;Poplze;-761659.12;-1005697.58;Moravec P. (2019) Monitoring páchníka hnìdého.;0;;0;;11-100;;;0;3 imaga + desítky larev pod kùrou vìtrem polámanıch topolù, 3 larvy také pod kùrou olše;;podmáèenı luní les;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Moravec Pavel;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;0;20181228
1359;46307134;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Moravec Pavel;20181031;20181031;;6832226;Budynì nad Ohøí;5650;Budynì nad Ohøí;-759836.8;-1005911.37;Moravec P. (2019) Monitoring páchníka hnìdého.;0;1;0;larvy;;;;0;larva v leícím topolovém kmeni mezi pláty zteøelého døeva;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Moravec Pavel;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;0;20181227
