PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;KODHN;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
1;63309275;Lucanus cervus;roháè obecnı;Brouci;Kyseloviè Jakub;20240618;20240618;21:15;11184752;Libèeves-Louny 1;5548;Mnichov u Loun;-780299.53;-1000890.78;KYSELOVIÈ J. (2025) Terénní zápisky - náhodná pozorování.;0;1;0;samci;;;;0;létající samec, nález nahlásil Jan Malina;;;;Mobilní sbìr dat;ND - Databáze BioLog;Kyseloviè Jakub;0;vìrohodnı záznam;;Návrh validace;;O;HD II;VU;;;;2;20250426
2;63257364;Lucanus cervus;roháè obecnı;Brouci;Køivan Václav;20250412;20250412;;11177953;Èermákovice;6963;Horní Kounice;-631758.29;-1175344.41;KØIVAN V. (2025) Terénní zápisky - náhodná pozorování.;0;1;0;mrtví jedinci;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Køivan Václav;0;vìrohodnı záznam;;Návrh validace;;O;HD II;VU;;;;32;20250425
3;63217868;Lucanus cervus;roháè obecnı;Brouci;Losík Háková Alice;20170101;20231231;;11147329;Lukov u Zlína;6772;Lukov u Zlína;-516553.16;-1159724.14;Alice Háková (2023) Hodnocení vlivu závaného zásahu na zájmy ochrany pøírody a krajiny dle § 67 zákona è. 114/1992 Sb. k zámìru 'ZOO ZLÍN – KARIBUNI II, ETAPA 2'.;0;;0;jedinci;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;ND - Èeskı svaz ochráncù pøírody;Losík Jan;0;;;;;O;HD II;VU;;;;0;20250413
4;63210859;Lucanus cervus;roháè obecnı;Brouci;Pláòavskı Dominik;20241130;20241130;09:51;11142549;Bohaté Málkovice;6868;Bohaté Málkovice;-568897.65;-1164476.4;PLÁÒAVSKİ D. (2025) Terénní zápisky - náhodná pozorování.;0;1;0;samci;vzácnì;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Pláòavskı Dominik;1;;;Garantováno;;O;HD II;VU;;;;10;20250411
5;63210402;Lucanus cervus;roháè obecnı;Brouci;Trhoò Pavel;20240908;20240908;;10203711;Skryje;6048;Skryje nad Berounkou;-791825.47;-1049480.92;TRHOÒ P. (2024) Terénní zápisky - náhodná pozorování.;0;1;0;mrtví samci;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Trhoò Pavel;1;;;Garantováno;;O;HD II;VU;;;;500;20250411
6;63206200;Lucanus cervus;roháè obecnı;Brouci;Køivan Václav;20250322;20250322;;11140171;Plaveè;7062;Plaveè;-638471.73;-1185735.1;KØIVAN V. (2025) Terénní zápisky - náhodná pozorování.;0;1;0;fragmenty;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Køivan Václav;0;vìrohodnı záznam;;Návrh validace;;O;HD II;VU;;;;8;20250410
7;63206048;Lucanus cervus;roháè obecnı;Brouci;Køivan Václav;20250314;20250314;;11140117;Køepice;7062;Køepice;-637618.81;-1181205.57;KØIVAN V. (2025) Terénní zápisky - náhodná pozorování.;0;1;0;fragmenty;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Køivan Václav;0;vìrohodnı záznam;;Návrh validace;;O;HD II;VU;;;;121;20250410
8;63142138;Lucanus cervus;roháè obecnı;Brouci;Stejskal Robert;20130714;20130714;;11101006;Èíov - silnice;7161;Èíov;-655523.36;-1189599.77;Kolektiv NP Podyjí (2025) Náhodná pozorování NP Podyjí.;0;1;0;samice;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Monitoring a mapování vybranıch druhù;Jeøábková Lenka;1;;;Garantováno;;O;HD II;VU;;;;1;20250327
9;63142137;Lucanus cervus;roháè obecnı;Brouci;Cvak Libor;20140713;20140713;;11101005;Znojmo - Kraví hora;7162;Sedlešovice;-644247.22;-1194833.42;Kolektiv NP Podyjí (2025) Náhodná pozorování NP Podyjí.;0;1;0;samice;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Monitoring a mapování vybranıch druhù;Jeøábková Lenka;1;;;Garantováno;;O;HD II;VU;;;;1;20250327
10;63141806;Lucanus cervus;roháè obecnı;Brouci;Škorpík Martin;20170729;20170729;;11100843;Popice - Sealsfieldùv kámen;7161;Popice u Znojma;-646905.66;-1195357.78;Kolektiv NP Podyjí (2025) Náhodná pozorování NP Podyjí.;0;1;0;mrtví samci;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Monitoring a mapování vybranıch druhù;Jeøábková Lenka;1;;;Garantováno;;O;HD II;VU;;;;1;20250327
11;63141805;Lucanus cervus;roháè obecnı;Brouci;Škorpík Martin;20170729;20170729;;11100843;Popice - Sealsfieldùv kámen;7161;Popice u Znojma;-646905.66;-1195357.78;Kolektiv NP Podyjí (2025) Náhodná pozorování NP Podyjí.;0;1;0;mrtví samci;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Monitoring a mapování vybranıch druhù;Jeøábková Lenka;1;;;Garantováno;;O;HD II;VU;;;;1;20250327
