DRUH;celkem_sitmap_0;sitmap_0_plne_inat;procento_0_plne_inat;celkem_1_sitmap;sitmap_1_plne_inat;procento_1_plne_inat;REDLIST
Bombus distinguendus;6;0;0,00000000000000;6;0;0,00000000000000;EN
Bombus semenoviellus;5;0;0,00000000000000;6;0;0,00000000000000;
Halictus seladonius;6;0;0,00000000000000;6;0;0,00000000000000;RE
Andrena nitidiuscula;5;0;0,00000000000000;5;0;0,00000000000000;
Andrena potentillae;5;0;0,00000000000000;5;0;0,00000000000000;VU
Andrena ruficrus;5;0;0,00000000000000;5;0;0,00000000000000;NT
Andrena taraxaci;5;0;0,00000000000000;5;0;0,00000000000000;
Bombus veteranus;5;0;0,00000000000000;5;0;0,00000000000000;CR
Andrena aeneiventris;3;0;0,00000000000000;4;0;0,00000000000000;RE
Andrena coitana;4;0;0,00000000000000;4;0;0,00000000000000;RE
Andrena congruens;4;0;0,00000000000000;4;0;0,00000000000000;NT
Andrena curvungula;4;0;0,00000000000000;4;0;0,00000000000000;VU
Andrena ventralis;4;0;0,00000000000000;4;0;0,00000000000000;NT
Osmia nigriventris;3;0;0,00000000000000;4;0;0,00000000000000;VU
Andrena batava;3;0;0,00000000000000;3;0;0,00000000000000;NT
Andrena chrysopyga;3;0;0,00000000000000;3;0;0,00000000000000;VU
Andrena combinata;3;0;0,00000000000000;3;0;0,00000000000000;EN
Andrena impunctata;3;0;0,00000000000000;3;0;0,00000000000000;VU
Bombus muscorum;3;0;0,00000000000000;3;0;0,00000000000000;CR
Bombus norvegicus;3;0;0,00000000000000;3;0;0,00000000000000;VU
Halictus compressus;3;0;0,00000000000000;3;0;0,00000000000000;NT
Osmia leaina;3;0;0,00000000000000;3;0;0,00000000000000;
Osmia parietina;3;0;0,00000000000000;3;0;0,00000000000000;VU
Andrena alfkenella;2;0;0,00000000000000;2;0;0,00000000000000;
Andrena argentata;2;0;0,00000000000000;2;0;0,00000000000000;NT
Andrena florea;2;0;0,00000000000000;2;0;0,00000000000000;VU
Andrena floricola;2;0;0,00000000000000;2;0;0,00000000000000;VU
Andrena fuscipes;2;0;0,00000000000000;2;0;0,00000000000000;NT
Andrena lathyri;2;0;0,00000000000000;2;0;0,00000000000000;NT
Andrena mitis;2;0;0,00000000000000;2;0;0,00000000000000;NT
Andrena tarsata;2;0;0,00000000000000;2;0;0,00000000000000;VU
Halictus pollinosus;2;0;0,00000000000000;2;0;0,00000000000000;VU
Halictus sp.;2;0;0,00000000000000;2;0;0,00000000000000;
Osmia melanogaster;2;0;0,00000000000000;2;0;0,00000000000000;CR
Andrena bimaculata;1;0;0,00000000000000;1;0;0,00000000000000;NT
Andrena chrysopus;1;0;0,00000000000000;1;0;0,00000000000000;
Andrena cinerea - Nezaøazený druh;1;0;0,00000000000000;1;0;0,00000000000000;
Andrena decipiens;1;0;0,00000000000000;1;0;0,00000000000000;CR
Andrena distinguenda;1;0;0,00000000000000;1;0;0,00000000000000;EN
Andrena ferox;1;0;0,00000000000000;1;0;0,00000000000000;EN
Andrena fulvicornis;1;0;0,00000000000000;1;0;0,00000000000000;
Andrena morawitzi;1;0;0,00000000000000;1;0;0,00000000000000;VU
Andrena nigriceps;1;0;0,00000000000000;1;0;0,00000000000000;EN
Andrena paucisquama;1;0;0,00000000000000;1;0;0,00000000000000;VU
Andrena pilipes;1;0;0,00000000000000;1;0;0,00000000000000;NT
Andrena propinqua;1;0;0,00000000000000;1;0;0,00000000000000;
Andrena rufizona;1;0;0,00000000000000;1;0;0,00000000000000;CR
Andrena rufula;1;0;0,00000000000000;1;0;0,00000000000000;DD
Andrena rugulosa;1;0;0,00000000000000;1;0;0,00000000000000;NT
Andrena saxonica;1;0;0,00000000000000;1;0;0,00000000000000;
Andrena semilaevis;1;0;0,00000000000000;1;0;0,00000000000000;EN
Andrena simontornyella;1;0;0,00000000000000;1;0;0,00000000000000;DD
Andrena suerinensis;1;0;0,00000000000000;1;0;0,00000000000000;VU
Andrena susterai;1;0;0,00000000000000;1;0;0,00000000000000;EN
Andrena symphyti;1;0;0,00000000000000;1;0;0,00000000000000;VU
Andrena trimmerana;1;0;0,00000000000000;1;0;0,00000000000000;NT
Andrena tscheki;1;0;0,00000000000000;1;0;0,00000000000000;VU
Bombus soroeensis proteus;1;0;0,00000000000000;1;0;0,00000000000000;NT
Bombus soroeensis soroeensis;1;0;0,00000000000000;1;0;0,00000000000000;NT
Halictus calceatus;1;0;0,00000000000000;1;0;0,00000000000000;
Halictus fulvicornis;1;0;0,00000000000000;1;0;0,00000000000000;
Halictus laevigatus;1;0;0,00000000000000;1;0;0,00000000000000;
Halictus laticeps;1;0;0,00000000000000;1;0;0,00000000000000;
Halictus pygmaeus;1;0;0,00000000000000;1;0;0,00000000000000;
Halictus quadrinotatulus;1;0;0,00000000000000;1;0;0,00000000000000;
Halictus semitectus;1;0;0,00000000000000;1;0;0,00000000000000;CR
Osmia cerinthidis;1;0;0,00000000000000;1;0;0,00000000000000;CR
Osmia gallarum;1;0;0,00000000000000;1;0;0,00000000000000;NT
Osmia niveata;1;0;0,00000000000000;1;0;0,00000000000000;CR
Osmia sp.;1;0;0,00000000000000;1;0;0,00000000000000;
Osmia tergestensis;1;0;0,00000000000000;1;0;0,00000000000000;NT
