DRUH;celkem_sitmap_0;sitmap_0_plne_inat;procento_0_plne_inat;celkem_1_sitmap;sitmap_1_plne_inat;procento_1_plne_inat;REDLIST
Bombylius discolor;18;13;72,2222222222222;18;13;72,2222222222222;NA
Bombylius fimbriatus;3;2;66,6666666666667;5;3;60,0000000000000;NA
Bombylius major;141;79;56,0283687943262;187;111;59,3582887700535;NA
Bombylius venosus;3;2;66,6666666666667;4;2;50,0000000000000;NA
Bombylius medius;2;1;50,0000000000000;2;1;50,0000000000000;NA
Bombylius fulvescens;3;0;0,0000000000000;3;0;0,0000000000000;NA
Bombylius canescens;2;0;0,0000000000000;2;0;0,0000000000000;NA
Bombylius posticus;2;0;0,0000000000000;2;0;0,0000000000000;NA
Bombylius cinerascens;1;0;0,0000000000000;1;0;0,0000000000000;NA
